sales_wholesale_min,sales_wholesale_max,sales_retail_min,sales_retail_max,sales_construction_min,sales_construction_max,sales_manufacturing_min,sales_manufacturing_max,sales_service_min,sales_service_max,asset_min,asset_max,income_min,income_max,fee
0,360000000,0,180000000,0,120000000,0,90000000,0,53000000,0,90000000,,0,25000
360000000,500000000,180000000,250000000,120000000,150000000,90000000,120000000,53000000,74000000,90000000,120000000,0,15000000,26000
500000000,750000000,250000000,350000000,150000000,250000000,120000000,180000000,74000000,112000000,120000000,180000000,15000000,25000000,27000
750000000,1000000000,350000000,500000000,250000000,350000000,180000000,250000000,112000000,150000000,180000000,250000000,25000000,30000000,30000
1000000000,1500000000,500000000,750000000,350000000,500000000,250000000,350000000,150000000,224000000,250000000,350000000,30000000,40000000,33000
1500000000,2000000000,750000000,1000000000,500000000,650000000,350000000,500000000,224000000,300000000,350000000,500000000,40000000,60000000,36000
2000000000,3000000000,1000000000,1500000000,650000000,1000000000,500000000,750000000,300000000,450000000,500000000,750000000,60000000,75000000,39000
3000000000,5000000000,1500000000,2500000000,1000000000,1650000000,750000000,1250000000,450000000,750000000,750000000,1200000000,75000000,100000000,45000
5000000000,7500000000,2500000000,3700000000,1650000000,2500000000,1250000000,1800000000,750000000,1100000000,1200000000,1800000000,100000000,150000000,50000
7500000000,10000000000,3700000000,5000000000,2500000000,3000000000,1800000000,2500000000,1100000000,1500000000,1800000000,2500000000,150000000,200000000,55000
10000000000,12000000000,5000000000,6200000000,3000000000,4100000000,2500000000,3100000000,1500000000,1800000000,2500000000,3100000000,200000000,250000000,60000
12000000000,15000000000,6200000000,7500000000,4100000000,5000000000,3100000000,3800000000,1800000000,2300000000,3100000000,3700000000,250000000,300000000,65000
15000000000,17500000000,7500000000,8800000000,5000000000,5800000000,3800000000,4400000000,2300000000,2700000000,3700000000,4300000000,300000000,350000000,70000
17500000000,20000000000,8800000000,10000000000,5800000000,6500000000,4400000000,5000000000,2700000000,3000000000,4300000000,5000000000,350000000,400000000,75000
20000000000,22500000000,10000000000,11300000000,6500000000,7600000000,5000000000,5700000000,3000000000,3400000000,5000000000,5600000000,400000000,450000000,80000
22500000000,25000000000,11300000000,12500000000,7600000000,8400000000,5700000000,6300000000,3400000000,3800000000,5600000000,6200000000,450000000,500000000,85000
25000000000,27500000000,12500000000,13800000000,8400000000,9200000000,6300000000,6900000000,3800000000,4200000000,6200000000,6800000000,500000000,550000000,90000
27500000000,30000000000,13800000000,15000000000,9200000000,10000000000,6900000000,7500000000,4200000000,4500000000,6800000000,7500000000,550000000,600000000,95000
30000000000,32500000000,15000000000,16300000000,10000000000,10900000000,7500000000,8200000000,4500000000,4900000000,7500000000,8100000000,600000000,650000000,100000
32500000000,35000000000,16300000000,17500000000,10900000000,11000000000,8200000000,8800000000,4900000000,5300000000,8100000000,8700000000,650000000,700000000,105000
35000000000,37500000000,17500000000,18800000000,11000000000,12000000000,8800000000,9400000000,5300000000,5600000000,8700000000,9300000000,700000000,750000000,110000
37500000000,40000000000,18800000000,20000000000,12000000000,13000000000,9400000000,10000000000,5600000000,6000000000,9300000000,10000000000,750000000,800000000,115000
40000000000,,20000000000,,13000000000,,10000000000,,6000000000,,10000000000,,800000000,,120000
